T2_panel0,T_panel0,T2_panel1,T_panel1,T2_panel2,T_panel2,T2_ld0,T_ld0,T2_ld1,T_ld1,T2_ld2,T_ld2
-0.00040009,0.009745752,-4.64463E-05,-0.002894571,0.000296422,0.003934459,-0.003864174,0.10261786,-0.006583363,0.19545256,0.000718495,0.10681795
-0.000376778,0.010350067,-0.000326091,0.005549423,0.000172067,-0.0012597,-0.003248741,0.11148164,9.85989E-05,0.041341193,0.001236167,0.017514354
-0.000441633,0.014476891,-0.000646379,0.009860529,0.00023644,0.003903674,-0.003105942,0.040858526,-0.003372453,0.080968827,0.000546882,0.036360558
-0.000346723,0.013712183,-0.000706594,0.014716171,0.000356569,-0.005045564,-0.003312642,0.084715575,-0.003745313,0.1342026,0.00225643,-0.001630823
-0.000476321,0.011193703,-0.000583051,0.011874346,0.000394987,0.004083763,-0.002701998,0.056885269,-0.00498778,0.21637654,0.001210554,0.060085833
-0.00021068,0.005120788,-0.00021402,0.004680985,0.000425989,-0.000812544,-4.19349E-05,0.022703398,0.000800547,-0.002715329,0.001535648,0.02364205
-0.000753162,0.025769169,-0.000330003,0.012470718,0.000222769,0.003307439,-0.001908729,0.050748169,-0.001400609,0.081584163,0.00069092,0.06583304
-0.000454367,0.014701473,-0.000339228,0.009496889,0.000129015,0.003870909,-0.001996219,0.075952455,-0.002263127,0.12016904,-0.000134572,0.063636862
-0.000207706,0.005781829,-0.000880354,0.012217175,0.000110942,0.006255409,-0.001253254,-0.036874212,-0.002505804,0.079767548,-0.000371911,0.044517264
-0.000311662,0.011911475,-0.000747858,0.013372645,0.000435872,-0.002404285,-0.002073754,0.066806003,-0.003213079,0.16405027,0.002328803,0.00512865
-0.000469959,0.014203487,-0.001180242,0.023472453,0.000248234,0.000167117,-0.005318645,0.14852241,-0.005736774,0.20300938,0.001473108,-0.005757466
-0.000111778,-0.00166133,-0.00061934,0.006383867,0.000330768,0.002249951,-0.003278211,0.085109383,-0.003790135,0.14105444,0.000501809,0.067999795
-0.000181804,0.000542559,-0.000653981,0.009892377,0.000176358,0.000359559,-0.00313637,0.066586182,-0.005462486,0.17347418,0.001849597,0.006404314
-0.000437632,0.003773551,-0.000661873,0.012278345,6.8809E-05,0.008205278,-0.002583185,-0.004597335,-0.006087034,0.22057599,0.001410249,0.07316374
-0.000336627,0.005036879,-0.00037098,0.001509449,0.000323606,0.001174261,-0.001859515,0.018326432,-0.008909077,0.23428953,0.000433151,0.066855013
-0.000245345,0.002202274,-0.000784639,0.02128393,0.000282992,0.006356707,0.003826503,-0.19851322,-0.005381294,0.24915454,0.002842678,0.051978417
-0.000490058,0.012954887,-0.000684165,0.013834557,0.000221042,0.005023428,-0.001775932,0.028317455,-0.005978196,0.25945801,0.002424971,0.052292507
-9.22858E-05,-0.00389192,-0.00068119,0.006948249,0.000632238,-0.005921679,-0.000828659,-0.044084482,-0.003233705,0.13637245,0.002195649,-0.013524182
-0.0005967,0.019128727,-0.000348605,0.008532552,2.051E-05,0.004458271,-0.00353113,0.10888612,-0.005497452,0.20072369,0.000964071,0.052560549
-0.000498737,0.012591419,-0.000659946,0.013258629,0.000189795,0.002054611,-0.002786835,0.028162323,-0.00487788,0.1651195,0.000855436,0.057051957
-0.00038496,0.01374966,-0.000650645,0.014972218,8.36517E-05,0.007047661,-0.002913372,0.040167425,-0.003716026,0.12983803,0.001662001,0.025112573
-0.000243926,0.00647223,-0.000218363,0.004971887,0.000390663,0.000852338,-0.001512275,-0.016197463,-0.003452271,0.16442224,0.002068796,0.034614351
-0.000530575,0.014681081,-0.000784692,0.022529449,0.000294273,0.000703706,-0.000170663,-0.02145688,-0.004972219,0.23173024,0.001826436,0.061397649
-0.000540666,0.015444739,-0.001428037,0.033628941,0.000145607,-0.005049932,-0.002533395,0.065569714,-0.002539023,0.081373796,0.001001338,0.035510644
-0.000642387,0.022612548,-0.000201692,0.00529306,0.000128319,0.005734761,-0.003111683,0.084804334,-0.005392283,0.18665056,2.42635E-05,0.043970801
