T2_panel0,T_panel0,T2_panel1,T_panel1,T2_panel2,T_panel2,dT2_panel0,dT_panel0,dT2_panel1,dT_panel1,dT2_panel2,dT_panel2,T2_d0,T_d0,T2_d1,T_d1,T2_d2,T_d2
-.00021763238,.0058421078,-.00047653884,.011404567,.00021248173,-.0039248969,.00016074633,-.014944763,-.00010671501,.0038965093,-.00026306219,.00077456003,.0023630441,-.053863313,.0043973196,.0091582909,.0028784049,.06364549
-.00045910242,.010338007,-.00073814543,.012149602,.00017327425,.0013440902,.00018858266,-.0081658363,.00038400784,.00058299617,-.00016989252,-.0039630388,-.0018017815,.080946043,-.0056624487,.059307624,-.0013993601,-.0078271767
-.0004565744,.0040008235,-.00037751865,.006881149,.00045668683,-.0036693888,.00025657198,-.0066568609,.000045738954,.0033957511,-.00035090055,.00048033913,.0027885181,-.06258513,.005814149,-.099742778,.0088599585,-.15003091
-.00068168878,.022144781,-.0011226317,.022432979,.000049955208,.00688757,.0004266066,-.017388051,.0010737577,-.015911445,-.00018414149,-.0020436635,-.0087564951,.35636568,-.0087764896,.17695303,-.0019041658,-.025211565
-.00068468798,.020243326,-.0012364422,.026960464,.000057456244,.0056030685,.00035592206,-.013878368,.0011832601,-.017867399,-.00025037301,-.00061433151,.0047862283,-.1677099,.0053921794,-.12379961,.0025440005,.028315913
-.000053694384,-.002064832,-.00041632782,.010034975,.00018127754,.006794543,.00019791781,-.0078877555,-.00036901506,.0095981369,-.000040106141,-.011156159,.00051914633,.13337913,-.016671447,.37002236,-.0053192526,.16667727
-.00089445687,.022028519,-.00095686968,.019198317,.0003417409,-.0018983802,.00061890384,-.017648702,.00030943958,-.0031837004,-.00028375554,-.0007017504,-.00012990713,.043946858,.0017282093,-.057714727,.0041647241,-.061215077
-.00057530979,.020323239,-.00035027703,.0049427552,.00017937506,.0023347274,.00041492123,-.021231204,-.00029823629,.0095500732,-.0002018869,-.0043217721,.00032669536,-.010334944,.0047895275,-.085817963,.0017974441,.052382305
-.0003473403,.0051452345,-.00065514218,.012720829,.00028125808,.0043927962,.00032101842,-.013135116,-.000055485903,.0010583355,-.00027183641,-.00096465147,.0060833963,-.19982535,.0029205706,.004552796,.002597196,.065198749
-.00058405753,.015258693,-.00054601143,.012250421,.00030689736,.0027085564,.00037300689,-.011756128,-.000094227005,.001553833,-.00023092382,-.0015500451,-.0012387733,.022436755,-.0079801241,.15686679,.001641499,.075197481
-.00037748442,.0094460119,-.00092845754,.023248546,.00062384782,-.010668778,.00023677903,-.011199786,.00070589909,-.012105008,-.00038557197,.0035344821,-.013383357,.3709031,-.0027464274,-.038057338,.0066096596,-.16877143
-.00068012276,.018308194,-.0007436896,.01940087,.00013944674,.0024857651,.00038529412,-.014619264,.000193196,-.0033557806,-.00010458112,-.0041824551,-.0044042831,.27991992,.0017231777,-.016652543,-.0024202077,.19139861
-.00053689693,.011341983,-.00039425644,.016408766,.00034570138,.0019498441,.00035215457,-.011364521,-.00014252194,-.0020076928,-.00025143253,-.0025591261,-.004369094,.15235361,.0027153133,.046049785,.00137511,.16686009
-.00061237405,.013161493,-.00049158902,.016002804,.00062412623,-.0058197798,.00041346034,-.013487793,-.00006790847,-.0001057035,-.00049882679,.0015239378,.0036577717,-.1662671,.00021641111,.11531498,.0078658657,-.094503284
-.00042969018,.017184941,-.00018845098,.007077754,.00024569483,-.0014325265,.00016216045,-.0095440513,-.00015375516,.0046202489,-.00035834353,.003273455,.0048180516,-.088475525,.0014903874,.010726792,.004719682,.039100636
-.00016267547,.0039865565,-.00085007591,.023371585,.00034561753,.0014534586,.0002604333,-.013254235,.0002814614,-.0068951016,-.00038655181,-.00059496798,-.00084815361,.03041785,.00068480399,-.033820435,.0033171272,.057963066
-.00049119996,.019048296,-.00017475983,.0017011525,.00025276764,.0051723053,.00022358345,-.014914471,-.00031635066,.0090395706,-.00032155175,-.0019937279,-.016904954,.58695894,-.0099261412,.091970682,-.004253698,.015364736
-.00033452443,.0090841092,-.00079380284,.017416006,.00037574102,.0018271051,.000039573348,-.00561987,-.000046169149,.0031226946,-.00052375672,.0047134105,-.023511736,.83125067,-.010266863,.021983959,-.0055086534,-.031801522
-.0003324787,.0062427376,-.00063330261,.0056952909,.00034354211,-.00079026038,.000089354937,-.003503537,.00020438281,.0036372812,-.00036733295,.00433926,.0018948417,.065830991,-.0027036122,.021648962,.0016248415,.029599329
-.00042135062,.0072689755,-.00023338926,.0059122224,.00029262528,.00074390974,.00023785331,-.0097432043,-.00042000733,.01241175,-.00043119537,.0033929793,.0027295323,-.11419096,.0019285872,.049531158,.0039979452,.083020627
-.00038959962,.0098830136,-.00034383117,.0081279157,.00043562308,-.004974681,.00038827269,-.016482394,.000090978392,.0013680712,-.00037905245,.0031564101,-.0048559648,.25607213,.0073334216,-.17727929,.0037037234,-.032552727
-.00042522044,.010908357,-.00071112462,.011815749,.00013290485,.0037743836,.00023834534,-.011743662,.0002616577,.0017405479,-.0002265302,.00061434752,.0020583451,.038304884,.0012572259,-.014624145,.0010251536,.10417901
-.00035521755,.011548849,-.00084759976,.014872424,.000042292097,.0012991355,.00020893551,-.0098057818,.00047056063,-.0036420347,-.000066914567,-.00029767409,-.0031296189,.1395376,-.0086354492,.13124028,-.0021149237,.031201046
-.000080242513,-.001989465,-.0006104919,.01241019,.00032431528,.0019732064,.00020700565,-.0089857019,-.000091189162,.0053828442,-.00021976311,-.0052334135,-.0020756919,.12085474,-.0028195165,.016302515,.00031066907,.010332985
-.0007176472,.016604971,-.00072115025,.011936402,.00019488431,.00078860018,.00048190649,-.01201593,.00028659395,.0016398358,-.00027451033,.0020137804,.0009024262,-.039648198,-.0048467549,.14743419,.0021797114,.05095632
-.000339955,.0062509119,-.00043209441,.010658295,.00032979899,.00018084866,.00048968196,-.016818369,-.000047832513,.0019056051,-.00033179586,-.0013944492,-.002829904,.14091775,.0039835232,-.080644056,-.0001364874,.028741876
