T2_panel0,T_panel0,T2_panel1,T_panel1,T2_panel2,T_panel2,T2_ld0,T_ld0,T2_ld1,T_ld1,T2_ld2,T_ld2
-0.000217313,0.020730194,-0.00189272,0.043397948,0.000263474,0.002097423,-0.002151343,-0.030904941,-0.005693622,0.22842774,0.001332183,0.13901499
-0.000428897,0.014603219,-0.001042254,0.035286825,0.000137413,0.002839655,-0.005421127,0.18346766,-0.002794573,0.1394856,0.000847122,0.11623777
-0.000416842,0.025326215,-0.000936028,0.021721657,0.000282615,-0.009640323,-0.002214209,0.045882139,-0.004165581,0.19044113,0.002142514,0.10201163
-0.00053766,0.023852805,-0.001118079,0.029296642,1.91988E-05,0.003587711,-0.003441514,0.10213075,-0.003639843,0.18384518,0.00053134,0.080146439
-0.000591279,0.031218009,-0.001791072,0.047567882,0.000451848,0.004192242,-0.005938383,0.0709785,-0.006281085,0.20442668,0.000786471,0.034185022
-0.000440249,0.01901979,-0.000873662,0.02288283,0.000103558,-0.001805431,-0.003479307,0.097801462,-0.004748357,0.20954031,0.00318149,0.034044676
-0.00039233,0.014858773,-0.00013458,0.008955679,0.000165755,0.00023925,-0.002116178,0.061730195,-0.003315266,0.18429218,-0.001310501,0.10778414
-0.000294658,0.017764781,-0.000971807,0.027091054,0.00029653,-0.004195089,-0.004839208,0.092985004,-0.005023132,0.21533164,0.000127824,0.037628595
-0.000241047,0.002425929,-0.001480782,0.028178884,3.89439E-05,0.001319247,-0.00343124,0.00632587,-0.006313289,0.22828402,0.000303729,0.12728125
-6.63E-06,0.000889751,-0.000759727,0.014851425,2.56045E-05,-0.001788638,-0.00306324,-0.01697001,-0.002528057,0.1319274,0.004282992,-0.056459077
-0.000574251,0.017135806,-0.001537917,0.025922373,7.36269E-05,-0.010144478,-0.002265889,0.027988631,-0.005384722,0.2128571,0.001706451,0.11785344
-0.000182782,0.004664324,-0.000715913,0.017398302,0.000647995,-0.020012472,-0.004959657,0.14859818,-0.00569623,0.20743491,0.004082807,0.023681721
-0.000170195,0.006069257,-0.000515132,0.014051629,0.00020606,-0.005385683,-0.002829968,0.028339943,-0.000206806,0.09781304,0.001814487,0.13005617
